Inputs from 160-bit to 210-bit was generated by GMP, tests performed during development on a single core OVH-cloud-amd64 server.

| 160 bits Quadratic Sieve testing command                                                    | average  | factors shown |
|                                 ./qs 79371907474581466803413315076724906576951476904035989 |  2954 ms | 2             |
|                                 ./qs 63680420164764787579823218939958011868371179923569033 |  2585 ms | 48            |
|                                 ./qs 80003874512319818212866109361911968762471744042296327 |  2524 ms | 6             |
|                                 ./qs 83258340062888234032320893470800184258364103901679281 |  2503 ms | 6             |
|                                 ./qs 95615068998244145802326299645346113051214593986104623 |  2442 ms | 2             |
|                                 ./qs 86683423300293837395511019178514732187445424775896101 |  2413 ms | 2             |
|                                 ./qs 60066524459912138347393823769248429429750923363825859 |  2390 ms | 2             |
|                                 ./qs 89038151653335256723688784400253322077156328282325241 |  2345 ms | 6             |
|                                 ./qs 58770357576529035024985137486342000478288657323842261 |  2372 ms | 6             |
|                                 ./qs 73971952856085798917474912615102637473071216262989597 |  2374 ms | 2             |
|                                 ./qs 94833101721707566860498568761560428282288685836289773 |  2430 ms | 6             |
|                                 ./qs 69409526301084129584189207801472751512167675573928743 |  2453 ms | 6             |
|                                 ./qs 87392857564215675334104351993217127830786939136349007 |  2460 ms | 2             |
|                                 ./qs 56693494216131187566066102076896706119827960787632659 |  2484 ms | 2             |
|                                 ./qs 54579767862992383161593101170331377799742316580132913 |  2453 ms | 6             |
|                                 ./qs 88818766476193148676693074348060393569743465682126453 |  2448 ms | 2             |
|                                 ./qs 76147784398327041220557452956264411845067978792591357 |  2442 ms | 6             |
|                                 ./qs 83614773446651894843106739317940389384290717881676807 |  2469 ms | 6             |
|                                 ./qs 60792938889060410852421742849556595931744452789353611 |  2446 ms | 2             |


| 177 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                ./qs 166918612354970419497710205463258057344824315759286091 |  2681 ms | 2             |
|                                ./qs 152189121071729772384334886550470788207969518539801149 |  2553 ms | 2             |
|                                ./qs 165269666202706760643703636362277399542006046024948073 |  2424 ms | 2             |
|                                ./qs 102355852759957760138524589661488870297359555168448891 |  2511 ms | 6             |
|                                ./qs 105776924166026418123431120353529724424990984530408577 |  2660 ms | 14            |
|                                ./qs 109269762527797550414510611560790582756724288534783401 |  2560 ms | 6             |
|                                ./qs 191231938956207808465593977472666537040391706951310319 |  2576 ms | 14            |
|                                ./qs 119775338193366715069317183383514747195855819521024593 |  2534 ms | 14            |
|                                ./qs 131033958734618337250883788896334184823197309938445633 |  2560 ms | 14            |
|                                ./qs 102231179638834885425691077595971976562201510158385557 |  2518 ms | 14            |
|                                 ./qs 98224988177646509880055912641287286280105863757195667 |  2548 ms | 6             |
|                                ./qs 107966959391661244082651305199173249341000931587926831 |  2571 ms | 6             |
|                                ./qs 144857567597295263004033152786761129866343675020387611 |  2575 ms | 14            |
|                                ./qs 165456671927110290273235300738859967069457137242721413 |  2576 ms | 2             |
|                                ./qs 136721631851113868600790661293223762144821590915319419 |  2569 ms | 14            |
|                                ./qs 164190453093269106966782402128498421037675502898785829 |  2575 ms | 14            |
|                                ./qs 137575164665623469117630970592949511865152458246316839 |  2588 ms | 14            |
|                                ./qs 113343822473456271666213219781470839384488147932376051 |  2590 ms | 2             |
|                                ./qs 122987638745434629900572631599201022184962252660168511 |  2561 ms | 2             |
|                                 ./qs 96273249253834259860687622820992874582379763618051891 |  2553 ms | 6             |


| 178 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                ./qs 304840564920972790742871004150729706026026475739202617 |  1898 ms | 12            |
|                                ./qs 372143358386033331123556436141255641760234591461672097 |  2131 ms | 2             |
|                                ./qs 333671713421680860882709394756631173553571427923496747 |  2347 ms | 14            |
|                                ./qs 221407369902644431227165719667132797396224857715802933 |  2556 ms | 28            |
|                                ./qs 245342977917595410003204464258297462759422072578939049 |  2556 ms | 6             |
|                                ./qs 196896350188680334559516510960870096264964778567274897 |  2507 ms | 6             |
|                                ./qs 251162821492323722589101120481400136024202766779941561 |  2574 ms | 6             |
|                                ./qs 239771413633605764123592998912071932170684742851156863 |  2663 ms | 6             |
|                                ./qs 358430399751258396220016406395676682373989492828466291 |  2367 ms | 2             |
|                                ./qs 239627484785705471902986807200949065962612165107991471 |  2393 ms | 14            |
|                                ./qs 351365282308368261014048187765988328646948603418608497 |  2434 ms | 2             |
|                                ./qs 309450930754093819729687454091028694816684045935274507 |  2437 ms | 6             |
|                                ./qs 242550882978344560805195264764029032733417268799791067 |  2461 ms | 2             |
|                                ./qs 336465878898790486862477892838063894996291808383355213 |  2457 ms | 2             |
|                                ./qs 320728197120259408288068425690735181432074974637908283 |  2482 ms | 6             |
|                                ./qs 309159497165157460899395023085222101813235083139416621 |  2539 ms | 14            |
|                                ./qs 195994554698388074580321572240536112526418670435401531 |  2526 ms | 6             |
|                                ./qs 295098644460842404981892079238719168256138151674286087 |  2551 ms | 14            |
|                                ./qs 352203937741165072902385289765066317546122306050123113 |  2590 ms | 6             |
|                                ./qs 284827617276676721293230616726386349915427613523935667 |  2564 ms | 2             |


| 179 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                ./qs 454477757318403775526125011208212458459725836438666119 |  3851 ms | 2             |
|                                ./qs 432462405863558414240660335118460571170978483682638209 |  3245 ms | 48            |
|                                ./qs 547548549162992027650055717959008768301807630026850811 |  3159 ms | 2             |
|                                ./qs 538912303187503919680257702890002086096692543634080959 |  3094 ms | 6             |
|                                ./qs 527132443677990788732926661545439191305041613090247493 |  2957 ms | 2             |
|                                ./qs 548099142779393605354254609558833552752721475716192669 |  2967 ms | 2             |
|                                ./qs 721050658487192791859272310911118310937420114800452197 |  2907 ms | 6             |
|                                ./qs 444305060950149453529694441712065436268892908500035467 |  2826 ms | 2             |
|                                ./qs 410192225148237409939578977492720719346906546464662869 |  2819 ms | 2             |
|                                ./qs 699353076748895257642734371608301965951107439866526597 |  2877 ms | 6             |
|                                ./qs 509294751189685546862984112923816446416072459089232671 |  2881 ms | 14            |
|                                ./qs 417358656817379876359079958037234238359624715864373871 |  2847 ms | 2             |
|                                ./qs 387100338108702506219222026096276205270566208965754219 |  2807 ms | 2             |
|                                ./qs 608510925174317021014742949818828002077251436611280413 |  2802 ms | 6             |
|                                ./qs 656665353823207420041353945075642567232241709964383629 |  2781 ms | 6             |
|                                ./qs 621513216407494151618891029368801308471918868331278211 |  2785 ms | 2             |
|                                ./qs 548399624303879188471374765170790578559960689207579221 |  2793 ms | 6             |
|                                ./qs 741997253453769873863190486540764066902500890091934741 |  2841 ms | 6             |
|                                ./qs 623534738977733559135500856202911099125498718944155397 |  2861 ms | 2             |
|                                ./qs 754440611197475867534788668333214001856739831633789477 |  2844 ms | 2             |


| 180 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                ./qs 849204679802700864726765630566990607681961467257939773 |  2987 ms | 6             |
|                               ./qs 1382648467967533582681849792478589102236505418437930583 |  2860 ms | 14            |
|                               ./qs 1221458830458001106934633370947800086224646737782352089 |  3472 ms | 14            |
|                                ./qs 917353062846516772116589083071658140869459950766263587 |  3243 ms | 2             |
|                                ./qs 896882135157255032870743864441671025615338231398448241 |  3194 ms | 6             |
|                               ./qs 1022809039791021815849403863361753240468286593358077227 |  3084 ms | 2             |
|                                ./qs 980982697844561107331743626254887818233801699855590133 |  3018 ms | 14            |
|                                ./qs 992843477009549209413686646371826390674595779342709881 |  3049 ms | 2             |
|                               ./qs 1108765561497743834323183949758307285822781588366128009 |  3093 ms | 6             |
|                               ./qs 1473008455295988268229045941030397066407757848004829223 |  3116 ms | 6             |
|                               ./qs 1253312925075601305398410059428744152654802145861719791 |  3109 ms | 2             |
|                               ./qs 1393854069263868017786662265389839559320292335503606939 |  3126 ms | 2             |
|                               ./qs 1156879103079440472816704665169007673917914353686100529 |  3118 ms | 6             |
|                                ./qs 930418481836223112386934199752402573025003973692785449 |  3118 ms | 6             |
|                               ./qs 1047670981477349458743548329882085567795769607910061397 |  3070 ms | 6             |
|                               ./qs 1100075432581406269417314153417097742682834546960432401 |  3082 ms | 2             |
|                                ./qs 962286684123692516397193552286635061846847347835782263 |  3096 ms | 6             |
|                               ./qs 1305497537639704405292607305647883697724358225606241299 |  3153 ms | 6             |
|                               ./qs 1345404792404671361537506919885029219828498263455145247 |  3167 ms | 6             |
|                                ./qs 821741749224312703487199740862638102878201245226414207 |  3185 ms | 2             |


| 181 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                               ./qs 2273385886598201079702887426865287547597773504316159737 |  4013 ms | 2             |
|                               ./qs 2073140919994781713806085851416559951264685374536474231 |  3410 ms | 2             |
|                               ./qs 2565365532983776576118753789699338641768803381192192893 |  3550 ms | 2             |
|                               ./qs 2125322255214205735845021099380979030944422652521593341 |  3483 ms | 14            |
|                               ./qs 2383045666096376677198739167829226644864841427085773097 |  3496 ms | 2             |
|                               ./qs 2092590583447524066055899451615185132086792583545985659 |  3443 ms | 6             |
|                               ./qs 2709101187713559111903614328440406911704453683554916739 |  3433 ms | 6             |
|                               ./qs 1868467697432551582468799714572927650849227604591306509 |  3502 ms | 2             |
|                               ./qs 2887408363438903374190137110687090133938117808730187671 |  3547 ms | 6             |
|                               ./qs 2601902535352739772756527640689532482630265613222708559 |  3603 ms | 2             |
|                               ./qs 2204150236952351267390387842265645699703907037638240843 |  3588 ms | 2             |
|                               ./qs 2556989150504395011007306281406357080300560786339059397 |  3509 ms | 14            |
|                               ./qs 1959035937440285199214128679631867490664927992258765799 |  3570 ms | 2             |
|                               ./qs 1624173294358643573567387694101021196431463174752391511 |  3562 ms | 6             |
|                               ./qs 2480895960446818137722074768302135805400242363476182153 |  3513 ms | 2             |
|                               ./qs 2687385133697451292249798382461387761925545024957910567 |  3531 ms | 6             |
|                               ./qs 2038566662179759907238247413819469955586680675352262511 |  3513 ms | 6             |
|                               ./qs 3063567976571428367155411417970390585333988741047140511 |  3540 ms | 14            |
|                               ./qs 2447937077658089624235737087924884641484288594579512911 |  3530 ms | 2             |
|                               ./qs 3025125541308511799474799858459920940607915804874128813 |  3560 ms | 2             |


| 182 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                               ./qs 4106068475564619168731229909256903955717306191822970029 |  4701 ms | 6             |
|                               ./qs 4337240413151458495787250751450672171056263105624329979 |  4109 ms | 2             |
|                               ./qs 5771855804421967010847876461402630989730739730504894337 |  4481 ms | 14            |
|                               ./qs 3786179153270193469753327108059430898512679363369733593 |  4382 ms | 6             |
|                               ./qs 3877091782805330656669390554900889503930523737519717319 |  4367 ms | 6             |
|                               ./qs 4842789160022423723533149784931942085490930083959386393 |  4337 ms | 6             |
|                               ./qs 4070794241421334424411070859280110349873507047710023741 |  4213 ms | 2             |
|                               ./qs 3936429770951918694630245338501366181951219729519108557 |  4255 ms | 6             |
|                               ./qs 3684779639909691651950349381213587253589621390165347499 |  4119 ms | 14            |
|                               ./qs 5785000468646801308876043488691203171069256661068824217 |  4049 ms | 2             |
|                               ./qs 5393768573933333742177593529798399048115357155640226147 |  4017 ms | 2             |
|                               ./qs 5966377786473526786043331269423576212862322345471344777 |  4035 ms | 14            |
|                               ./qs 4805407812702483877350152918866716575139944524338021259 |  3997 ms | 6             |
|                               ./qs 4604955398120371188683418717110432654829528810845888707 |  3948 ms | 6             |
|                               ./qs 5148067011733408677513495992499054063315850748832955501 |  3915 ms | 6             |
|                               ./qs 4067134802398793790876787705160830293403517453103367211 |  3933 ms | 6             |
|                               ./qs 3227066629913312688374359357409538817514389008259429621 |  3891 ms | 2             |
|                               ./qs 4116902765909533366353049803980967605695776958987908203 |  3890 ms | 6             |
|                               ./qs 3893223545706733522839504839606238609758361512506282811 |  3902 ms | 2             |
|                               ./qs 3867197638880551928003096315487700727959729945150753411 |  3860 ms | 2             |


| 183 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                              ./qs 10740851233230811619115366599070934582447511716712965981 |  3108 ms | 2             |
|                               ./qs 7969472422236397551716857218285343327927658866216617281 |  3359 ms | 2             |
|                               ./qs 9296363358203324182672327771655192190167086204734029881 |  3380 ms | 6             |
|                               ./qs 9855723652423725332490276456451704583509096632666873177 |  3671 ms | 26            |
|                              ./qs 11985881512197474815166423369597757958721206722260027997 |  3702 ms | 6             |
|                               ./qs 7319507132460379637737552822410501945382618130747546893 |  3775 ms | 6             |
|                              ./qs 11524432311451417872784724172722347492020067397741172211 |  3739 ms | 2             |
|                              ./qs 10324986408844314608747309093176224669930141903162537163 |  3785 ms | 2             |
|                               ./qs 8487597448348558664491560264272624722643474467196452793 |  3792 ms | 14            |
|                               ./qs 7987525389588340321219347426977317207497929206689583157 |  3741 ms | 14            |
|                              ./qs 10765948716941009782279755878902775676366964026158089193 |  3688 ms | 2             |
|                              ./qs 10952956807195931686037745457419419884787508451111923773 |  3636 ms | 2             |
|                               ./qs 9296375082821945103519849800121601128742836661807297177 |  3666 ms | 2             |
|                               ./qs 9698932546842386561616340801513341678305456946092236919 |  3808 ms | 6             |
|                               ./qs 8542212752948462055749743499375895837954721360076877793 |  3858 ms | 6             |
|                               ./qs 6619240452576277152105775141539556565346802625086749977 |  3913 ms | 6             |
|                               ./qs 6516874987414495450574907635767071422582136035393231999 |  3912 ms | 6             |
|                               ./qs 6470911969170874711604425430032734409329626790066610367 |  3923 ms | 6             |
|                               ./qs 7691881185278565708987531083368771130304447941576380021 |  3885 ms | 6             |
|                              ./qs 10104060920173664072389189884193573927102583886459348523 |  3867 ms | 6             |


| 184 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                              ./qs 18605814250820548625876201061848598230869361153507283283 |  4085 ms | 6             |
|                              ./qs 12924424232975593157665050196196522396135468573252188781 |  3747 ms | 2             |
|                              ./qs 24106167762253604992478638324610255166355247541898687213 |  4163 ms | 2             |
|                              ./qs 14325527700345725458548542655099959703817980115985461937 |  3846 ms | 24            |
|                              ./qs 20025370119711211355460864057656970503879532375340581361 |  3708 ms | 2             |
|                              ./qs 23396588992774919106077070941649722444483924901648991681 |  3091 ms | 2             |
|                              ./qs 13434494264641160371202158261792157321533402671473332769 |  3255 ms | 2             |
|                              ./qs 19267016967087856086609521380717262508431253864146105941 |  3259 ms | 14            |
|                              ./qs 24002196847168505577552343324988567712120265695487300777 |  3415 ms | 14            |
|                              ./qs 19280658711448449079676699969663252358597775828822903019 |  3448 ms | 14            |
|                              ./qs 19674344936807734171351807461717442992118746459239410169 |  3552 ms | 6             |
|                              ./qs 22590638335363562130964638627565607355449936774400064879 |  3661 ms | 2             |
|                              ./qs 18455480542174698992633744999113935399929144943104035783 |  3684 ms | 2             |
|                              ./qs 24398063270175568746430042084096080708473480607655599197 |  3691 ms | 2             |
|                              ./qs 18036741251679714744252839630523485615983451603802895013 |  3748 ms | 30            |
|                              ./qs 17033642296847092203878493318664918435137108079802392357 |  3783 ms | 30            |
|                              ./qs 13527587072198647608631590588901098448444903732610090047 |  3792 ms | 2             |
|                              ./qs 22998016583870686283346033340312549647868210297120623497 |  3846 ms | 30            |
|                              ./qs 20870987396034053630393755370940397501157372776831841917 |  3896 ms | 2             |
|                              ./qs 16000090772525268689059709499371131888966306795432062127 |  3892 ms | 2             |


| 185 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                              ./qs 48506469445373372300025317623065034699268490105525176033 |  5201 ms | 14            |
|                              ./qs 26195980850566548833367371230992770501715389287860553483 |  4415 ms | 14            |
|                              ./qs 47740568380124464309509306346433388808200167316113171027 |  4874 ms | 6             |
|                              ./qs 39973721077894260242065742010015191818233167719537213993 |  4621 ms | 6             |
|                              ./qs 41671653127437456017456115502866211125580537366680921307 |  5019 ms | 2             |
|                              ./qs 40765437201549276383914333917595598354733556132880980651 |  4874 ms | 2             |
|                              ./qs 26943843366765154818943683198694973284058349166160734129 |  4902 ms | 2             |
|                              ./qs 25912704885192553023866422156557713949481454519988181837 |  4833 ms | 2             |
|                              ./qs 29954035841410254093057011748710635363881009235349560163 |  4860 ms | 14            |
|                              ./qs 28183566248620340789346793112163306115736096312558908651 |  4712 ms | 6             |
|                              ./qs 30488443268036025923989142926229304728767398920959667561 |  4729 ms | 28            |
|                              ./qs 27002791043812016923758703574529725116707454723745969713 |  4623 ms | 14            |
|                              ./qs 25507535428715545612304061131798028431975080609550006029 |  4553 ms | 6             |
|                              ./qs 46240572458030851469479749020374809182844681010174273403 |  4562 ms | 6             |
|                              ./qs 46503958980615616929949949643787234554687180758201250689 |  4600 ms | 2             |
|                              ./qs 41147004543400412104017113803984948595290756797796651931 |  4592 ms | 2             |
|                              ./qs 26583154319692968217065308947818925471520925483430944919 |  4585 ms | 6             |
|                              ./qs 46594880984991032773915097244195346719313586751585159721 |  4529 ms | 6             |
|                              ./qs 30414788072517442890354589566460882052951078245865567773 |  4565 ms | 6             |
|                              ./qs 41656358572354270853534760354684156496691174527694626811 |  4583 ms | 6             |


| 186 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                              ./qs 90179208137707916501171195739523609598727053699114725459 |  3892 ms | 2             |
|                              ./qs 63690048005760062705818799793527861348619618879740189039 |  4516 ms | 6             |
|                              ./qs 85457110004121305230006278005857816174140089222714069099 |  4959 ms | 6             |
|                              ./qs 78880077620165067409590552950758316683822326526198011127 |  4891 ms | 14            |
|                              ./qs 93392248056619981754949593485745325471659902291506580901 |  4983 ms | 6             |
|                              ./qs 82685803380528326641637660081652759601484325000025377697 |  4788 ms | 6             |
|                              ./qs 84694404708327067691560930635434869864688228840599592453 |  4764 ms | 14            |
|                              ./qs 91219468942925047424430626756247678750316384369579289627 |  4676 ms | 14            |
|                              ./qs 64602019616544687291225666055477396705731827201073960421 |  4647 ms | 2             |
|                              ./qs 82689117486351337365402389151636472336147816683221292581 |  4687 ms | 2             |
|                              ./qs 80438160415120971355529302108441467170566203975838106263 |  4665 ms | 6             |
|                              ./qs 69075477609966257161227403801271921992363878333089774851 |  4681 ms | 14            |
|                              ./qs 51195721629301023382189876905677264008972842084417423719 |  4624 ms | 2             |
|                              ./qs 84126604848497854525475689281914003234286658738731155011 |  4640 ms | 6             |
|                              ./qs 70200097923078274871067633016463996674167619628039932279 |  4636 ms | 2             |
|                              ./qs 59409645546573505513696997539015142079575077139189474497 |  4605 ms | 2             |
|                              ./qs 84636385086437384407717167595108159692257842708603987291 |  4643 ms | 6             |
|                              ./qs 55604096513466285680577632407938434681631184177547489119 |  4682 ms | 6             |
|                              ./qs 57888403389527504327486843952518212234386383619396247619 |  4647 ms | 6             |
|                              ./qs 67880925060259895187311022806208345957623714188899129299 |  4660 ms | 2             |


| 187 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                             ./qs 162170351357072085884423028453793471457059695654769735321 |  6911 ms | 6             |
|                             ./qs 108654715048849243442355340127474077268992610200157317193 |  6735 ms | 6             |
|                             ./qs 140881832883591216352690368868699151715979394572399372397 |  6547 ms | 14            |
|                             ./qs 178725298232614035263457473958800909409136215800590475891 |  6187 ms | 6             |
|                             ./qs 125433494938174694974098197566407070872536180845151059453 |  5719 ms | 2             |
|                             ./qs 149452650023704331896223077839628388659068491040859031221 |  5583 ms | 2             |
|                             ./qs 135211714367160352116191223139464218597654655824211306017 |  5413 ms | 2             |
|                             ./qs 130560416181186016301534752774291318159550380531501015043 |  5434 ms | 6             |
|                             ./qs 139692925904149325686624342976776605896383983931835650703 |  5432 ms | 6             |
|                             ./qs 158536318814563596434942185647896380555832152033888068133 |  5414 ms | 6             |
|                             ./qs 130179514264117042137829502960270811591155760414000232759 |  5306 ms | 28            |
|                              ./qs 98903710031999917524374985531108944762464862372785913993 |  5285 ms | 6             |
|                             ./qs 158511284573156537150220391356259820261369119192970558743 |  5260 ms | 6             |
|                             ./qs 117957148342004515936560640399644146655327023245962655621 |  5414 ms | 6             |
|                             ./qs 187283504749843314825385182167657409931908916522820932781 |  5438 ms | 6             |
|                             ./qs 118187056698781456300737595493681296823129950487956622213 |  5391 ms | 2             |
|                             ./qs 163112311079114093604724926905570008923175827105408121483 |  5426 ms | 6             |
|                             ./qs 141975838484324581461082386202479902059452985631604446669 |  5429 ms | 28            |
|                             ./qs 116344149557638636179680203912308877652333690611587924551 |  5379 ms | 2             |
|                             ./qs 126939538415186436174832461671684243665487672008606270759 |  5333 ms | 2             |


| 188 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                             ./qs 213314654290875293139503451798720684361990598448422245247 |  5544 ms | 6             |
|                             ./qs 298581566100824578664969710618694793722758649516759218567 |  2774 ms | 2             |
|                             ./qs 210512914717708301971593254663356599632744406684385973177 |  3288 ms | 6             |
|                             ./qs 376188867545249269959712906316070786305521807650994646467 |  3923 ms | 2             |
|                             ./qs 293648177141774564835112840718342525756509536081774443363 |  4286 ms | 2             |
|                             ./qs 273252971096474712789570112520022160232080673440419905863 |  4594 ms | 2             |
|                             ./qs 260908287158831632950266999922765284854563155273249297623 |  4638 ms | 30            |
|                             ./qs 266693879098180858400646213614677737613191111996950217743 |  4779 ms | 2             |
|                             ./qs 236042134630480552084570688719544323095645343734165290789 |  4905 ms | 2             |
|                             ./qs 295417194503542806930141518138417870284514934034591206533 |  4415 ms | 2             |
|                             ./qs 314943529783594408586906703819251263738178081495392410629 |  4594 ms | 6             |
|                             ./qs 331161734463024949995518943015807697149043121788436321797 |  4711 ms | 2             |
|                             ./qs 320046222310450431370585015314360758087020207525162200533 |  4751 ms | 2             |
|                             ./qs 365683756402679192282614493290695755632328097182126019811 |  4880 ms | 2             |
|                             ./qs 376382137994222134437963137746659385843037955679336571207 |  5000 ms | 2             |
|                             ./qs 280017251416188885912634902246854755670789948111622399833 |  5070 ms | 6             |
|                             ./qs 373771882146486818938104383953690921062006255114032371841 |  5084 ms | 2             |
|                             ./qs 391284765862373877318446470479941654510564562536558305039 |  5127 ms | 2             |
|                             ./qs 293571146366795686609225516395809896395397358087652300839 |  5202 ms | 6             |
|                             ./qs 244529660608795051508918729468734872587170188118380668779 |  5229 ms | 6             |


| 189 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                             ./qs 669536260105835666787637282332678030328889808758561139409 |  6821 ms | 6             |
|                             ./qs 442029302497628777467344579964297499469962167969998988837 |  6932 ms | 46            |
|                             ./qs 780437500494006560595188105076435028056279779649993059533 |  6552 ms | 2             |
|                             ./qs 608418979534171965552256833354784154027397048529654950437 |  6262 ms | 6             |
|                             ./qs 401885279985934507994140599510839296155004086509746050079 |  5967 ms | 6             |
|                             ./qs 521777937267091875071851019241056117879955730277033262719 |  5833 ms | 2             |
|                             ./qs 538853647853983676786980454722954530523197521157704379607 |  5637 ms | 2             |
|                             ./qs 410591820579523119562143582679281433902752703121957152449 |  5627 ms | 14            |
|                             ./qs 560896844487065681076988549088805685736652295533859892627 |  5484 ms | 2             |
|                             ./qs 497246362056642514805878301722440809586292971291409287397 |  5431 ms | 2             |
|                             ./qs 592793388266883870283026653841542551046014115907747906997 |  5392 ms | 6             |
|                             ./qs 499273899591064344237808642048270253109070091032008116663 |  5445 ms | 14            |
|                             ./qs 469785492255279858988813895883127589236288991086514947423 |  5573 ms | 2             |
|                             ./qs 644146577500796356757910130276133417390975509848491265991 |  5608 ms | 6             |
|                             ./qs 579142473475773391297673052439554187780400090770505933933 |  5623 ms | 6             |
|                             ./qs 686309473659810256454443162984167780182491955345018519089 |  5636 ms | 6             |
|                             ./qs 719792279637055421803992545590666312009309967136044918807 |  5687 ms | 6             |
|                             ./qs 393748904846694939488818468880697660729107293323983886431 |  5760 ms | 2             |
|                             ./qs 655160706587833711941651512627342858667584407802929067129 |  5787 ms | 2             |
|                             ./qs 422073940607833032717123948634972826963710107525108686287 |  5836 ms | 2             |


| 190 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                            ./qs 1051120413148306070173519952479367927610125209913306808869 |  5683 ms | 6             |
|                            ./qs 1059670580207400654740358464325773296593571709667019470973 |  6040 ms | 2             |
|                            ./qs 1167938134790075416537023165296872161158366703646401114089 |  6119 ms | 2             |
|                            ./qs 1052674914025102961514248808059666800752059545257048109993 |  6303 ms | 6             |
|                             ./qs 917119891801200561894774336042800619821229940356847819543 |  6532 ms | 14            |
|                            ./qs 1005746959245852388280688641687587215621127060933447256563 |  6679 ms | 2             |
|                            ./qs 1534237842934483411656303766850127818847473716594962118319 |  6893 ms | 2             |
|                            ./qs 1508224668215102429190289536115609717263758284087290158749 |  6916 ms | 6             |
|                             ./qs 792675537128913048163736045547087797869115057529830351927 |  6854 ms | 2             |
|                            ./qs 1539619801168191634504084909311087283516677530216601911047 |  6715 ms | 2             |
|                            ./qs 1248142734012538711128658917252181298359888811676818221669 |  6105 ms | 2             |
|                            ./qs 1508212488907239609726415716877718922991701792946601813161 |  6200 ms | 2             |
|                            ./qs 1164150872582648871460048953172290572166097211375118520601 |  6303 ms | 26            |
|                            ./qs 1270731578309600635262241402971494225985760392519990241767 |  6320 ms | 6             |
|                            ./qs 1526097215721583625078783612357963696414232382837168463461 |  6321 ms | 6             |
|                            ./qs 1297783523642753213348376344919832274063225139579888479569 |  6317 ms | 2             |
|                            ./qs 1387677898066717546206986463071153339089393374841389492991 |  6310 ms | 6             |
|                            ./qs 1273289479794577038281655425511459919498560684951468461113 |  6295 ms | 6             |
|                             ./qs 947893451272517854114510437219055183773534303409194455107 |  6287 ms | 2             |
|                             ./qs 946182476026981248110683051467989928976823432300365670749 |  6341 ms | 14            |


| 191 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                            ./qs 1775599482475982087762699218469881957995204139875749375713 |  6282 ms | 6             |
|                            ./qs 2491019376000452769057550025658114265523487712709476348381 |  5887 ms | 6             |
|                            ./qs 2667208868666901723413363386501418043493778858432028273157 |  6197 ms | 2             |
|                            ./qs 1667391332420234229182497288845272464752344016961751622491 |  6336 ms | 6             |
|                            ./qs 2601271791857017503092391155266220413260062681827318231241 |  6324 ms | 14            |
|                            ./qs 1663514146107846871239851062864129894568082225485271479149 |  6539 ms | 14            |
|                            ./qs 1815153969670300562076123375801554725166998021185316281553 |  6354 ms | 2             |
|                            ./qs 2164040502814702487760215801943126158096743876052812335233 |  6476 ms | 30            |
|                            ./qs 2829521329650129310153046137253716172111872265828861217559 |  6497 ms | 6             |
|                            ./qs 2796204356322079048949850828402143098340792396393060768081 |  6512 ms | 6             |
|                            ./qs 1776214079230769684229805389310365458055636923258929828003 |  5921 ms | 2             |
|                            ./qs 1664938929938094204858004635671733840218736880280561859541 |  5931 ms | 6             |
|                            ./qs 2941966596121543326295519750550370734673878292875525192923 |  5993 ms | 6             |
|                            ./qs 2947205190886547836233649669517818123167779646485763917009 |  6135 ms | 2             |
|                            ./qs 2395584441996184005053571663941935867625631515667713353889 |  6171 ms | 6             |
|                            ./qs 2090030199202305574946627298421158828873687547262886389837 |  6302 ms | 14            |
|                            ./qs 3082486775998730206799278917011445532051421433351295090303 |  6348 ms | 14            |
|                            ./qs 2880694419261037855752871599286438079537418032077065829033 |  6290 ms | 14            |
|                            ./qs 2158514540437952938893168312512695486200142077812491818157 |  6279 ms | 14            |
|                            ./qs 1951022720284077661520961241117964778299177662211725899839 |  6313 ms | 2             |


